X_coord,Y_coord,Depth,Velocity,Capturesuccess,species,Experiment
25,25,0.3,0.29,71.42857143,Steelhead,Velocity
25,25,0.3,0.39,6.25,Steelhead,Velocity
25,25,0.3,0.48,6.25,Steelhead,Velocity
25,25,0.3,0.61,6.25,Steelhead,Velocity
25,25,0.3,0.54,6.25,Steelhead,Velocity
15,25,0.3,0.29,61.84210526,Steelhead,Velocity
15,25,0.3,0.39,39.9122807,Steelhead,Velocity
15,25,0.3,0.54,38.15789474,Steelhead,Velocity
15,25,0.3,0.48,17.10526316,Steelhead,Velocity
15,25,0.3,0.61,7.456140351,Steelhead,Velocity
5,25,0.3,0.29,56.03448276,Steelhead,Velocity
5,25,0.3,0.39,46.12068966,Steelhead,Velocity
5,25,0.3,0.48,28.44827586,Steelhead,Velocity
5,25,0.3,0.54,31.89655172,Steelhead,Velocity
5,25,0.3,0.61,9.051724138,Steelhead,Velocity
25,15,0.3,0.29,50.65217391,Steelhead,Velocity
25,15,0.3,0.39,44.56521739,Steelhead,Velocity
25,15,0.3,0.48,8.913043478,Steelhead,Velocity
25,15,0.3,0.54,0,Steelhead,Velocity
25,15,0.3,0.61,8.913043478,Steelhead,Velocity
15,15,0.3,0.29,55.43478261,Steelhead,Velocity
15,15,0.3,0.39,34.13043478,Steelhead,Velocity
15,15,0.3,0.48,12.39130435,Steelhead,Velocity
15,15,0.3,0.54,8.043478261,Steelhead,Velocity
15,15,0.3,0.61,4.130434783,Steelhead,Velocity
5,15,0.3,0.29,68.47826087,Steelhead,Velocity
5,15,0.3,0.39,43.26086957,Steelhead,Velocity
5,15,0.3,0.48,38.47826087,Steelhead,Velocity
5,15,0.3,0.54,38.04347826,Steelhead,Velocity
5,15,0.3,0.61,23.69565217,Steelhead,Velocity
25,5,0.3,0.29,46.55172414,Steelhead,Velocity
25,5,0.3,0.39,58.62068966,Steelhead,Velocity
25,5,0.3,0.48,41.37931034,Steelhead,Velocity
25,5,0.3,0.54,11.63793103,Steelhead,Velocity
25,5,0.3,0.61,11.20689655,Steelhead,Velocity
15,5,0.3,0.29,64.22413793,Steelhead,Velocity
15,5,0.3,0.39,24.13793103,Steelhead,Velocity
15,5,0.3,0.48,30.60344828,Steelhead,Velocity
15,5,0.3,0.54,11.63793103,Steelhead,Velocity
15,5,0.3,0.61,11.20689655,Steelhead,Velocity
5,5,0.3,0.29,75.43103448,Steelhead,Velocity
5,5,0.3,0.39,46.98275862,Steelhead,Velocity
5,5,0.3,0.48,60.34482759,Steelhead,Velocity
5,5,0.3,0.54,42.24137931,Steelhead,Velocity
5,5,0.3,0.61,38.79310345,Steelhead,Velocity
0,0,0.15,0.3,0.172413268,Steelhead,Depth
0,0,0.15,0.3,0.201843348,Steelhead,Depth
0,0,0.15,0.3,0.211339971,Steelhead,Depth
0,0,0.15,0.3,0.281595469,Steelhead,Depth
0,0,0.3,0.3,0.226835983,Steelhead,Depth
0,0,0.3,0.3,0.25247473,Steelhead,Depth
0,0,0.3,0.3,0.269563164,Steelhead,Depth
0,0,0.45,0.3,0.286960939,Steelhead,Depth
0,0,0.45,0.3,0.322087164,Steelhead,Depth
0,0,0.45,0.3,0.351520293,Steelhead,Depth
0,0,0.45,0.3,0.384744755,Steelhead,Depth
0,0,0.6,0.3,0.284428303,Steelhead,Depth
0,0,0.6,0.3,0.370822878,Steelhead,Depth
0,0,0.6,0.3,0.404999746,Steelhead,Depth
0,0,0.6,0.3,0.428730634,Steelhead,Depth
